time(second),IR,RED
25.84,8568,10881
25.86,8501,10930
25.88,8521,10884
25.9,8506,10871
25.92,8487,10875
25.94,8537,10917
25.96,8499,10904
25.98,8484,10846
26,8530,10786
26.02,8458,10852
26.04,8448,10767
26.06,8461,10702
26.08,8449,10768
26.1,8370,10736
26.12,8352,10704
26.14,8409,10664
26.16,8390,10676
26.18,8388,10648
26.2,8311,10612
26.22,8379,10672
26.24,8295,10633
26.26,8349,10607
26.28,8361,10687
26.3,8252,10671
26.32,8310,10659
26.34,8375,10651
26.36,8361,10682
26.38,8318,10597
26.4,8348,10634
26.42,8303,10605
26.44,8362,10645
26.46,8338,10572
26.48,8324,10572
26.5,8295,10540
26.52,8261,10596
26.54,8351,10573
26.56,8300,10616
26.58,8311,10594
26.6,8369,10629
26.62,8360,10600
26.64,8343,10691
26.66,8337,10627
26.68,8347,10697
26.7,8276,10671
26.72,8354,10646
26.74,8387,10635
26.76,8360,10654
26.78,8332,10680
26.8,8327,10642
26.82,8382,10708
26.84,8361,10629
26.86,8374,10609
26.88,8414,10732
26.9,8363,10734
26.92,8341,10686
26.94,8433,10701
26.96,8377,10703
26.98,8350,10675
27,8405,10769
27.02,8354,10713
27.04,8338,10687
27.06,8417,10715
27.08,8351,10688
27.1,8409,10690
27.12,8364,10714
27.14,8343,10698
27.16,8372,10637
27.18,8396,10676
27.2,8383,10730
27.22,8391,10718
27.24,8370,10729
27.26,8379,10699
27.28,8345,10744
27.3,8361,10717
27.32,8406,10691
27.34,8451,10762
27.36,8395,10756
27.38,8367,10759
27.4,8358,10744
27.42,8369,10702
27.44,8398,10675
27.46,8378,10749
27.48,8361,10677
27.5,8314,10670
27.52,8410,10757
27.54,8417,10746
27.56,8364,10685
27.58,8394,10694
27.6,8325,10652
27.62,8408,10710
27.64,8370,10713
27.66,8355,10637
27.68,8418,10725
27.7,8349,10699
27.72,8350,10671
27.74,8388,10731
27.76,8350,10677
27.78,8341,10700
27.8,8356,10744
27.82,8342,10652
27.84,8365,10682
27.86,8351,10706
27.88,8402,10730
27.9,8308,10701
27.92,8356,10698
27.94,8379,10694
27.96,8346,10643
27.98,8324,10674
