X,Y,Z,IR,RED,HeartRate,RespirationRate,SPO2,Activity,HR Mean,RR Mean,SPO2 Mean
-0.13,-0.16,0.62,8755,11028,93.75,,94.9911156,4,,,
-0.09,-0.19,0.66,8801,11018,111.1111111,,93.16751241,4,,,
-0.08,-0.17,0.79,8736,10988,103.4482759,,96.91967012,4,,,
0.03,-0.32,1.1,8748,10952,85.71428571,,88.85830543,4,,,
0.04,-0.44,1.34,8796,10937,90.90909091,,88.94407016,4,,,
0.25,-0.43,1.33,8754,11046,66.66666667,,94.99111574,4,,,
0.15,-0.44,0.86,8745,10981,96.77419355,,93.16751242,4,,,
0.11,-0.25,0.99,8749,11006,107.1428571,,96.91967013,4,,,
0.55,-0.77,1.58,8761,11023,111.1111111,,88.85830543,4,,,
0.56,-0.43,1.04,8801,10976,81.08108108,,88.94407015,4,,,
0.09,-0.51,0.8,8710,10992,63.82978723,,94.86680182,4,,,
-0.03,-0.4,0.96,8754,11010,71.42857143,,86.56537422,4,,,
0,-0.2,1,8798,10988,90.90909091,,94.78374281,4,,,
0.05,-0.2,0.98,8579,10615,65.2173913,,98.13433266,4,,,
0.03,-0.2,0.88,8555,10601,96.77419355,,99.35032599,4,,,
0.08,-0.28,0.89,8569,10585,111.1111111,,88.50828209,4,,,
0.09,-0.34,1,8547,10568,107.1428571,,97.36985785,4,,,
0.14,-0.22,0.96,8559,10642,78.94736842,,83.35073432,4,,,
0.1,-0.17,0.95,8581,10593,65.2173913,,89.51306199,4,,,
0.11,-0.24,0.98,8581,10553,71.42857143,,94.65742807,4,,,
0.13,-0.24,0.85,8603,10623,90.90909091,,98.13195479,4,,,
0.01,-0.26,0.85,8544,10608,65.2173913,,99.33997472,4,,,
-0.03,-0.32,0.95,8633,10634,96.77419355,,88.51527183,4,,,
-0.05,-0.41,1.01,8613,10631,111.1111111,,97.4326024,4,,,
-0.03,-0.4,1.05,8609,10705,107.1428571,,88.93082248,4,,,
-0.06,-0.49,1.14,8626,10801,78.94736842,,99.07986772,4,,,
-0.11,-0.44,1.19,8646,10846,65.2173913,,94.82022295,4,,,
-0.2,-0.34,1.02,8736,10898,83.33333333,,94.84363188,4,,,
-0.2,-0.35,0.91,8710,10915,85.71428571,,94.84832883,4,,,
-0.19,-0.31,0.89,8761,11063,100,,94.84250186,4,,,
-0.17,-0.25,0.82,8750,11055,96.77419355,,94.84538714,4,,,
-0.2,-0.22,0.96,8784,10981,200,,95.14576659,4,,,
-0.16,-0.17,1,8827,11065,120,,95.69242588,4,,,
-0.16,-0.2,0.8,8804,11117,107.1428571,,93.76881129,4,,,
-0.19,-0.21,0.85,8827,11077,65.2173913,,90.0735476,4,,,
-0.19,-0.35,0.89,8757,11069,81.08108108,,95.66117453,4,,,
-0.19,-0.45,1.01,8774,11027,93.75,,94.82022295,4,,,
-0.14,-0.59,1.08,8800,11043,125,,94.84363188,4,,,
-0.1,-0.35,1,8711,10971,93.75,,94.84832883,4,,,
-0.2,-0.11,1.05,8741,10979,100,,94.84250186,4,,,
-0.22,0.16,1.19,8753,10983,66.66666667,,94.84538714,4,,,
-0.28,0.11,1.19,8850,10946,81.08108108,,95.14576659,4,,,
0.34,-0.62,1.61,8752,10939,65.2173913,,95.69242588,4,,,
0.21,-0.84,1.1,8757,10964,88.23529412,,93.76881144,4,,,
0.21,-0.41,0.71,8737,10949,103.4482759,,90.07354763,4,,,
-0.01,-0.35,0.81,8798,10948,176.4705882,,95.66117454,4,,,
-0.04,-0.52,0.93,8756,10986,107.1428571,,94.80984206,4,,,
0.03,-0.52,0.81,8798,10905,115.3846154,,94.79525841,4,,,
-0.06,-0.44,0.61,8771,10982,107.1428571,,94.82713884,4,,,
