X,Y,Z,R,IR,HR,RR,SPO2,Activity,HR Mean,RR Mean,SPO2 Mean
0.76,0.36,0.62,10177,11627,81.08108108,,99.80636173,3,,,
0.73,0.39,0.62,10202,11516,65.2173913,,94.88638401,3,,,
0.74,0.39,0.59,10142,11545,68.18181818,,99.61368504,3,,,
0.73,0.36,0.66,10019,11421,66.66666667,,97.32728261,3,,,
0.73,0.39,0.61,10119,11528,75,,99.95504541,3,,,
0.71,0.36,0.62,10141,11543,73.17073171,,99.48624209,3,,,
0.74,0.39,0.64,10275,11672,69.76744186,,99.29238719,3,,,
0.74,0.4,0.6,10142,11568,71.42857143,,98.49281132,3,,,
0.74,0.36,0.64,10170,11499,81.08108108,,99.91096179,3,,,
0.7,0.36,0.61,10051,11448,75,,91.13663939,3,,,
0.74,0.37,0.59,10118,11544,83.33333333,,95.87701831,3,,,
0.73,0.37,0.6,10134,11560,81.08108108,,96.43170009,3,,,
0.74,0.35,0.54,10129,11544,69.76744186,,98.44903429,3,,,
0.73,0.36,0.6,10044,11458,93.75,,99.95508955,3,,,
0.73,0.39,0.55,10099,11535,63.82978723,,99.92385203,3,,,
0.69,0.39,0.59,10131,11542,68.18181818,,96.90810925,3,,,
0.76,0.39,0.57,10236,11552,69.76744186,,99.81611661,3,,,
0.74,0.39,0.61,10160,11402,76.92307692,,99.92352639,3,,,
0.76,0.41,0.66,10046,11497,76.92307692,,99.65610067,3,,,
0.75,0.4,0.61,10153,11533,78.94736842,,98.07278131,3,,,
0.75,0.35,0.64,10147,11649,66.66666667,,95.56202563,3,,,
0.74,0.37,0.61,10226,11556,69.76744186,,95.67006718,3,,,
0.74,0.41,0.61,10115,11533,75,,99.86334219,3,,,
0.77,0.39,0.62,10007,11411,68.18181818,,97.36937313,3,,,
0.77,0.39,0.6,10105,11513,90.90909091,,84.03458352,3,,,
0.74,0.37,0.62,10130,11520,68.18181818,,99.05890411,3,,,
0.76,0.36,0.6,10180,11526,75,,95.22349721,3,,,
0.79,0.39,0.61,10121,11511,81.08108108,,97.22735934,3,,,
0.75,0.37,0.61,10218,11578,120,,97.48731189,3,,,
0.73,0.39,0.56,10081,11546,111.1111111,,99.79245759,3,,,
0.73,0.39,0.52,10138,11369,100,,95.33912475,3,,,
0.73,0.39,0.55,10029,11449,76.92307692,,99.19579209,3,,,
0.71,0.37,0.59,10130,11499,71.42857143,,99.59219665,3,,,
0.75,0.4,0.6,10124,11516,76.92307692,,99.71014607,3,,,
0.71,0.39,0.6,10128,11532,61.2244898,,99.61953705,3,,,
0.76,0.37,0.6,10011,11430,81.08108108,,99.10062308,3,,,
0.77,0.36,0.59,10101,11532,100,,89.39970124,3,,,
0.73,0.39,0.6,10112,11516,55.55555556,,98.86315736,3,,,
0.74,0.39,0.57,10229,11629,96.77419355,,98.38506633,3,,,
0.73,0.43,0.59,10085,11519,69.76744186,,98.23883089,3,,,
0.71,0.39,0.57,10142,11385,71.42857143,,99.8035851,3,,,
0.75,0.37,0.57,10105,11516,75,,97.26523016,3,,,
0.76,0.39,0.59,10089,11695,71.42857143,,99.9398002,3,,,
0.75,0.39,0.59,10193,11490,65.2173913,,90.46719547,3,,,
0.73,0.39,0.62,10156,11565,73.17073171,,97.95329833,3,,,
0.74,0.4,0.61,10007,11415,66.66666667,,86.74259571,3,,,
0.7,0.43,0.61,10116,11513,69.76744186,,99.44506429,3,,,
