~Time(seconds),R,IR
18.76,10061,11441
18.78,10154,11545
18.8,10248,11538
18.82,10174,11463
18.84,10059,11370
18.86,10125,11500
18.88,10185,11527
18.9,10082,11432
18.92,10178,11528
18.94,10213,11539
18.96,10234,11516
18.98,10132,11500
19,10226,11557
19.02,10246,11581
19.04,10352,11712
19.06,10132,11555
19.08,10345,11641
19.1,10234,11531
19.12,10088,11459
19.14,10179,11555
19.16,10224,11554
19.18,10234,11570
19.2,10166,11546
19.22,10222,11563
19.24,10333,11643
19.26,10245,11558
19.28,10086,11534
19.3,10227,11551
19.32,10247,11692
19.34,10289,11553
19.36,10226,11569
19.38,10227,11563
19.4,10242,11449
19.42,10146,11528
19.44,10211,11533
19.46,10200,11563
19.48,10202,11533
19.5,10305,11607
19.52,10228,11560
19.54,10217,11403
19.56,10116,11523
19.58,10209,11688
19.6,10224,11373
19.62,10097,11506
19.64,10195,11550
19.66,10220,11655
19.68,10309,11624
19.7,10249,11534
19.72,10128,11482
19.74,10214,11551
19.76,10215,11543
19.78,10294,11631
19.8,10118,11518
19.82,10284,11619
19.84,10166,11509
19.86,10158,11440
19.88,10060,11464
19.9,10140,11278
19.92,10042,11387
19.94,10139,11472
19.96,10152,11494
19.98,10264,11558
20,10025,11533
20.02,10325,11538
20.04,10213,11360
20.06,10067,11408
20.08,10174,11480
20.1,10041,11344
20.12,10175,11483
20.14,10245,11645
20.16,10349,11532
20.18,10254,11581
20.2,10241,11572
20.22,10244,11592
20.24,10394,11660
20.26,10271,11598
20.28,10270,11523
20.3,10242,11618
20.32,10319,11672
20.34,10245,11561
20.36,10271,11674
20.38,10313,11767
20.4,10342,11660
20.42,10268,11560
20.44,10342,11697
20.46,10331,11868
20.48,10462,11708
20.5,10382,11706
20.52,10218,11613
20.54,10315,11650
20.56,10329,11650
20.58,10493,11793
20.6,10325,11679
20.62,10350,11610
20.64,10320,11646
20.66,10459,11760
20.68,10331,11648
20.7,10311,11489
20.72,10254,11631
20.74,10318,11767
20.76,10289,11587
20.78,10314,11632
20.8,10294,11616
20.82,10393,11706
20.84,10274,11620
20.86,10275,11608
20.88,10186,11515
20.9,10260,11631
20.92,10408,11697
20.94,10347,11620
20.96,10228,11655
20.98,10338,11665
21,10344,11682
21.02,10206,11580
21.04,10338,11792
21.06,10333,11612
21.08,10342,11659
21.1,10332,11678
21.12,10336,11597
21.14,10234,11589
21.16,10397,11571
21.18,10288,11644
21.2,10180,11533
21.22,10294,11635
21.24,10314,11631
21.26,10207,11604
21.28,10302,11623
21.3,10357,11715
21.32,10375,11656
21.34,10312,11617
21.36,10124,11636
21.38,10296,11624
21.4,10411,11742
21.42,10328,11619
21.44,10298,11479
21.46,10288,11737
21.48,10286,11538
21.5,10302,11615
21.52,10327,11640
21.54,10231,11489
21.56,10205,11486
21.58,10290,11607
21.6,10296,11604
21.62,10277,11588
21.64,10174,11541
21.66,10214,11443
21.68,10173,11588
21.7,10441,11779
21.72,10391,11630
21.74,10325,11662
21.76,10190,11664
21.78,10307,11696
21.8,10320,11634
21.82,10179,11549
21.84,10306,11635
21.86,10308,11669
21.88,10398,11734
21.9,10333,11662
21.92,10298,11546
21.94,10238,11627
21.96,10307,11681
21.98,10450,11732
22,10313,11719
22.02,10357,11718
22.04,10344,11668
22.06,10237,11650
22.08,10328,11696
22.1,10379,11805
22.12,10402,11730
22.14,10243,11664
22.16,10333,11708
22.18,10373,11839
22.2,10426,11714
22.22,10372,11684
22.24,10334,11682
22.26,10457,11767
22.28,10345,11676
22.3,10344,11536
22.32,10200,11682
22.34,10405,11767
22.36,10211,11588
22.38,10290,11680
22.4,10339,11689
22.42,10236,11695
22.44,10389,11777
22.46,10401,11675
22.48,10191,11555
22.5,10266,11705
22.52,10319,11694
22.54,10336,11855
22.56,10386,11660
22.58,10332,11691
22.6,10210,11596
22.62,10324,11682
22.64,10326,11712
22.66,10241,11677
22.68,10318,11712
22.7,10367,11822
22.72,10420,11729
22.74,10339,11686
22.76,10242,11606
22.78,10313,11842
22.8,10422,11770
22.82,10371,11707
22.84,10170,11614
22.86,10304,11687
22.88,10351,11699
22.9,10438,11808
22.92,10395,11718
22.94,10342,11697
22.96,10332,11695
22.98,10312,11732
23,10198,11593
23.02,10280,11683
23.04,10445,11645
23.06,10331,11687
23.08,10344,11739
23.1,10396,11638
23.12,10309,11652
23.14,10128,11654
23.16,10296,11669
23.18,10295,11655
23.2,10196,11533
23.22,10294,11689
23.24,10428,11601
23.26,10300,11687
23.28,10275,11649
23.3,10313,11670
23.32,10296,11763
23.34,10413,11648
23.36,10300,11662
23.38,10374,11727
23.4,10328,11646
23.42,10124,11538
23.44,10260,11651
23.46,10307,11675
23.48,10445,11768
23.5,10388,11668
23.52,10286,11699
23.54,10220,11573
23.56,10318,11808
23.58,10318,11700
23.6,10314,11543
23.62,10202,11674
23.64,10318,11690
23.66,10276,11587
23.68,10306,11679
23.7,10320,11707
23.72,10338,11775
23.74,10387,11646
23.76,10286,11668
23.78,10334,11771
23.8,10450,11805
23.82,10357,11728
23.84,10244,11573
23.86,10273,11782
23.88,10346,11699
23.9,10303,11543
23.92,10233,11666
23.94,10311,11693
23.96,10300,11679
23.98,10309,11689
24,10305,11671
24.02,10403,11746
24.04,10285,11674
24.06,10310,11585
24.08,10237,11642
24.1,10303,11654
24.12,10260,11760
24.14,10354,11663
24.16,10327,11673
24.18,10192,11586
24.2,10277,11654
24.22,10451,11746
24.24,10338,11673
24.26,10283,11544
24.28,10214,11626
24.3,10300,11690
24.32,10317,11660
24.34,10184,11617
24.36,10282,11662
24.38,10293,11676
24.4,10412,11785
24.42,10271,11677
24.44,10285,11533
24.46,10239,11602
24.48,10257,11679
24.5,10296,11666
24.52,10311,11681
24.54,10139,11552
24.56,10240,11630
24.58,10285,11655
24.6,10363,11764
24.62,10286,11651
24.64,10198,11515
24.66,10200,11621
24.68,10288,11629
24.7,10348,11573
24.72,10254,11610
24.74,10267,11599
24.76,10396,11721
24.78,10294,11628
24.8,10247,11545
24.82,10190,11599
24.84,10268,11649
24.86,10311,11750
24.88,10398,11688
24.9,10256,11635
24.92,10269,11645
24.94,10291,11646
24.96,10388,11720
24.98,10257,11606
25,10296,11473
25.02,10273,11752
25.04,10352,11656
25.06,10285,11653
25.08,10173,11604
25.1,10262,11637
25.12,10189,11717
25.14,10313,11668
25.16,10291,11676
25.18,10163,11593
25.2,10275,11651
25.22,10281,11659
25.24,10433,11746
25.26,10306,11665
25.28,10292,11570
25.3,10177,11594
25.32,10276,11660
25.34,10379,11731
25.36,10341,11651
25.38,10243,11564
25.4,10184,11639
25.42,10301,11643
25.44,10404,11737
25.46,10315,11663
25.48,10189,11511
25.5,10192,11643
25.52,10287,11660
25.54,10272,11653
25.56,10290,11671
25.58,10404,11766
25.6,10315,11652
25.62,10264,11707
25.64,10299,11648
25.66,10220,11605
25.68,10262,11618
25.7,10276,11733
25.72,10369,11610
25.74,10276,11665
25.76,10140,11579
25.78,10266,11641
25.8,10313,11678
25.82,10436,11791
25.84,10127,11681
25.86,10269,11657
25.88,10398,11685
25.9,10247,11659
25.92,10137,11661
25.94,10276,11666
25.96,10435,11772
25.98,10269,11652
26,10287,11673
26.02,10113,11539
26.04,10246,11657
26.06,10288,11710
26.08,10159,11566
26.1,10280,11652
26.12,10271,11647
26.14,10406,11768
26.16,10296,11674
26.18,10266,11659
26.2,10131,11568
26.22,10260,11676
26.24,10289,11675
26.26,10385,11552
26.28,10252,11675
26.3,10294,11700
26.32,10293,11767
26.34,10356,11638
26.36,10280,11701
26.38,10175,11601
26.4,10260,11642
26.42,10283,11628
26.44,10421,11670
26.46,10121,11557
26.48,10289,11779
26.5,10345,11689
26.52,10189,11625
26.54,10290,11641
26.56,10268,11676
26.58,10250,11667
26.6,10312,11809
26.62,10346,11645
26.64,10290,11680
26.66,10273,11762
26.68,10362,11623
26.7,10266,11621
26.72,10123,11572
26.74,10266,11667
26.76,10297,11672
26.78,10336,11721
26.8,10133,11560
26.82,10240,11652
26.84,10282,11657
26.86,10320,11782
26.88,10373,11660
26.9,10284,11672
26.92,10440,11823
26.94,10329,11550
26.96,10241,11687
26.98,10287,11681
27,10394,11736
27.02,10286,11710
27.04,10154,11573
27.06,10267,11663
27.08,10286,11710
27.1,10284,11539
27.12,10161,11637
27.14,10290,11689
27.16,10434,11798
27.18,10324,11705
27.2,10275,11602
27.22,10216,11685
27.24,10309,11713
27.26,10301,11704
27.28,10291,11692
27.3,10177,11646
27.32,10283,11723
27.34,10306,11746
27.36,10346,11763
27.38,10275,11710
27.4,10159,11587
27.42,10268,11646
27.44,10262,11665
27.46,10429,11663
27.48,10215,11557
27.5,10209,11630
27.52,10283,11647
27.54,10276,11821
27.56,10365,11626
27.58,10295,11575
27.6,10273,11748
27.62,10247,11663
27.64,10247,11504
27.66,10156,11621
27.68,10267,11639
27.7,10266,11497
27.72,10274,11673
27.74,10377,11741
27.76,10296,11582
27.78,10257,11664
27.8,10275,11699
27.82,10448,11792
27.84,10335,11704
27.86,10311,11630
27.88,10165,11556
27.9,10261,11671
27.92,10285,11691
27.94,10399,11754
27.96,10299,11574
