X,Y,Z,IR,RED,HeartRate,RespirationRate,SPO2,Activity,Mean HR,Mean RR,Mean SPO2
-0.11,0.12,0.98,96355,138417,78.94736842,,94.86319944,5,,,
-0.11,0.12,0.99,96360,138396,23.07692308,,94.97780225,5,,,
-0.11,0.12,1.02,96356,138283,54.54545455,,97.91801047,5,,,
-0.12,0.13,1.04,96343,138427,78.94736842,,99.5214711,5,,,
-0.14,0.11,1.03,96376,138368,23.07692308,,92.67473157,5,,,
-0.14,0.1,0.98,96328,138427,54.54545455,,97.32954444,5,,,
-0.12,0.1,0.96,96479,138387,76.92307692,,99.56748052,5,,,
-0.11,0.1,1.03,96319,138400,11.9047619,,94.06617944,5,,,
-0.13,0.1,1.03,96451,138392,16.94915254,,94.84306559,5,,,
-0.13,0.1,1,96397,138415,54.54545455,,94.83357602,5,,,
-0.13,0.11,1.02,96347,138389,78.94736842,,94.84425622,5,,,
-0.12,0.12,1.03,96429,138439,23.07692308,,94.84169296,5,,,
-0.12,0.11,1.04,96426,138344,54.54545455,,94.84050042,5,,,
-0.13,0.11,1.01,96350,138303,78.94736842,,94.85903523,5,,,
-0.12,0.11,1,96326,138356,23.07692308,,94.92418754,5,,,
-0.12,0.11,1.01,96389,138471,54.54545455,,94.84281832,5,,,
-0.12,0.11,1.02,96450,138373,76.92307692,,94.83357602,5,,,
-0.11,0.11,1.01,96402,138406,11.9047619,,94.84425622,5,,,
-0.12,0.11,0.99,96411,138489,16.94915254,,94.84169296,5,,,
-0.12,0.12,1.01,96410,138469,54.54545455,,94.84050042,5,,,
-0.11,0.12,1.01,96355,138405,78.94736842,,94.85903524,5,,,
-0.11,0.11,1.02,96428,138304,23.07692308,,94.92247878,5,,,
-0.11,0.11,1.01,96416,138379,54.54545455,,94.84369896,5,,,
-0.11,0.12,0.96,96305,138275,78.94736842,,94.8417475,5,,,
-0.09,0.11,1,96389,138397,,,94.84230089,5,,,
-0.09,0.11,1.02,631,809,,,94.84428173,5,,,
-0.1,0.11,1.06,695,779,,,94.84454014,5,,,
-0.11,0.11,1.01,662,767,,,94.84317922,5,,,
-0.1,0.11,1.01,627,768,,,94.84870589,5,,,
-0.11,0.11,1.02,760,782,,,94.89311917,5,,,
-0.12,0.11,1.02,645,769,,,95.20626238,5,,,
-0.13,0.1,1.02,619,803,,,95.45563698,5,,,
-0.12,0.1,1.01,613,781,,,99.86499952,5,,,
