Time Period,IR,RED
16.72,97422,139022
16.74,97481,139048
16.76,97407,138997
16.78,97400,138990
16.8,97484,139098
16.82,97466,139142
16.84,97468,138978
16.86,97390,139057
16.88,97429,139206
16.9,97422,139063
16.92,97393,139039
16.94,97459,139077
16.96,97523,139087
16.98,97482,139020
17,97401,138898
17.02,97585,139205
17.04,97579,139117
17.06,97529,139146
17.08,97511,139123
17.1,97443,139024
17.12,97523,139164
17.14,97654,139169
17.16,97597,139125
17.18,97620,139314
17.2,97606,139169
17.22,97650,139200
17.24,97606,139081
17.26,97484,139093
17.28,97489,139141
17.3,97575,139078
17.32,97581,139194
17.34,97742,139276
17.36,97651,139339
17.38,97590,139430
17.4,97717,139689
17.42,97740,139402
17.44,97643,139351
17.46,97604,139062
17.48,97511,139230
17.5,97545,139194
17.52,97687,139509
17.54,97773,139513
17.56,97769,139593
17.58,97689,139236
17.6,97565,139099
17.62,97504,138979
17.64,97466,138907
17.66,97453,138910
17.68,97462,138861
17.7,97499,138917
17.72,97603,139083
17.74,97668,139326
17.76,97739,139369
17.78,97763,139540
17.8,97687,139448
17.82,97661,139286
17.84,97623,139140
17.86,97523,139222
17.88,97532,139118
17.9,97645,139194
17.92,97610,139350
17.94,97764,139556
17.96,97876,139662
17.98,97911,139988
18,98012,140063
18.02,97989,139954
18.04,97881,139851
18.06,97871,139762
18.08,97843,139642
18.1,97841,139641
18.12,97851,139532
18.14,97849,139641
18.16,97859,139828
18.18,98039,139879
18.2,97963,139828
18.22,97848,139528
18.24,97826,139392
18.26,97745,139338
18.28,97779,139339
18.3,97826,139504
18.32,97866,139441
18.34,97918,139671
18.36,97942,139661
18.38,97854,139608
18.4,98009,139661
18.42,97902,139697
18.44,97869,139712
18.46,97845,139768
18.48,97960,139644
18.5,97870,139505
18.52,97886,139678
18.54,97878,139575
18.56,97937,139657
18.58,97953,139824
18.6,97926,139783
18.62,97942,139676
18.64,97773,139438
18.66,97869,139682
18.68,97826,139450
18.7,97839,139462
18.72,97899,139647
18.74,97916,139494
18.76,97810,139373
18.78,97801,139465
18.8,97809,139338
18.82,97753,139261
18.84,97790,139423
18.86,97801,139370
18.88,97727,139328
18.9,97783,139399
18.92,97823,139389
18.94,97887,139326
18.96,97868,139447
18.98,97901,139448
19,97829,139407
19.02,97906,139481
19.04,97819,139194
19.06,97813,139385
19.08,97905,139393
19.1,97868,139483
19.12,97840,139608
19.14,97946,139625
19.16,98010,139705
19.18,97980,139762
19.2,98019,139672
19.22,97924,139605
19.24,97942,139698
19.26,97865,139537
19.28,97885,139526
19.3,97863,139505
19.32,97946,139597
19.34,97945,139615
19.36,98027,139743
19.38,98061,139804
19.4,97988,139656
19.42,98065,139768
19.44,97948,139599
19.46,97935,139875
19.48,97964,139862
19.5,97924,140005
19.52,98138,140438
19.54,98390,140762
19.56,97307,138861
19.58,97290,138869
19.6,97339,138861
19.62,97273,138929
19.64,97263,138939
19.66,97373,139011
19.68,97360,139054
19.7,97369,138934
19.72,97390,139073
19.74,97417,139059
19.76,97392,139111
19.78,97352,139165
19.8,97447,139218
19.82,97464,139157
19.84,97394,139146
19.86,97403,139116
19.88,97481,139090
19.9,97517,139081
19.92,97405,139116
19.94,97332,139110
19.96,97358,138979
19.98,97339,138783
20,97307,138721
20.02,97271,138834
20.04,97398,138979
20.06,97395,139068
20.08,97311,138999
20.1,97405,139118
20.12,97496,139094
20.14,97405,138976
20.16,97438,138947
20.18,97514,139029
20.2,97451,138944
20.22,97438,139013
20.24,97436,139054
20.26,97502,138953
20.28,97348,138897
20.3,97335,138950
20.32,97447,138940
20.34,97387,139042
20.36,97373,139251
20.38,97550,139239
20.4,97476,139144
20.42,97484,139284
20.44,97457,139039
20.46,97412,139000
20.48,97475,138931
20.5,97415,138989
20.52,97404,138950
20.54,97420,139061
20.56,97426,139019
20.58,97394,138949
20.6,97406,138891
20.62,97375,138887
20.64,97338,138971
20.66,97494,138977
20.68,97459,138928
20.7,97396,138880
20.72,97422,139022
20.74,97481,139048
20.76,97407,138997
20.78,97400,138990
20.8,97484,139098
20.82,97466,139142
20.84,97468,138978
20.86,97390,139057
20.88,97429,139206
20.9,97422,139063
20.92,97393,139039
20.94,97459,139077
20.96,97523,139087
20.98,97482,139020
21,97401,138898
21.02,97585,139205
21.04,97579,139117
21.06,97529,139146
21.08,97511,139123
21.1,97443,139024
21.12,97523,139164
21.14,97654,139169
21.16,97597,139125
21.18,97620,139314
21.2,97606,139169
21.22,97650,139200
21.24,97606,139081
21.26,97484,139093
21.28,97489,139141
21.3,97575,139078
21.32,97581,139194
21.34,97742,139276
21.36,97651,139339
21.38,97590,139430
21.4,97717,139689
21.42,97740,139402
21.44,97643,139351
21.46,97604,139062
21.48,97511,139230
21.5,97545,139194
21.52,97687,139509
21.54,97773,139513
21.56,97769,139593
21.58,97689,139236
21.6,97565,139099
21.62,97504,138979
21.64,97466,138907
21.66,97453,138910
21.68,97462,138861
21.7,97499,138917
21.72,97603,139083
21.74,97668,139326
21.76,97739,139369
21.78,97763,139540
21.8,97687,139448
21.82,97661,139286
21.84,97623,139140
21.86,97523,139222
21.88,97532,139118
21.9,97645,139194
21.92,97610,139350
21.94,97764,139556
21.96,97876,139662
21.98,97911,139988
22,98012,140063
22.02,97989,139954
22.04,97881,139851
22.06,97871,139762
22.08,97843,139642
22.1,97841,139641
22.12,97851,139532
22.14,97849,139641
22.16,97859,139828
22.18,98039,139879
22.2,97963,139828
22.22,97848,139528
22.24,97826,139392
22.26,97745,139338
22.28,97779,139339
22.3,97826,139504
22.32,97866,139441
22.34,97918,139671
22.36,97942,139661
22.38,97854,139608
22.4,98009,139661
22.42,97902,139697
22.44,97869,139712
22.46,97845,139768
22.48,97960,139644
22.5,97870,139505
22.52,97886,139678
22.54,97878,139575
22.56,97937,139657
22.58,97953,139824
22.6,97926,139783
22.62,97942,139676
22.64,97773,139438
22.66,97869,139682
22.68,97826,139450
22.7,97839,139462
22.72,97899,139647
22.74,97916,139494
22.76,97810,139373
22.78,97801,139465
22.8,97809,139338
22.82,97753,139261
22.84,97790,139423
22.86,97801,139370
22.88,97727,139328
22.9,97783,139399
22.92,97823,139389
22.94,97887,139326
22.96,97868,139447
22.98,97901,139448
23,97829,139407
23.02,97906,139481
23.04,97819,139194
23.06,97813,139385
23.08,97905,139393
23.1,97868,139483
23.12,97840,139608
23.14,97946,139625
23.16,98010,139705
23.18,97980,139762
23.2,98019,139672
23.22,97924,139605
23.24,97942,139698
23.26,97865,139537
23.28,97885,139526
23.3,97863,139505
23.32,97946,139597
23.34,97945,139615
23.36,98027,139743
23.38,98061,139804
23.4,97988,139656
23.42,98065,139768
23.44,97948,139599
23.46,97935,139875
23.48,97964,139862
23.5,97924,140005
23.52,98138,140438
23.54,98390,140762
23.56,97823,140004
23.58,97809,139978
23.6,97734,139741
23.62,97726,139741
23.64,97701,139775
23.66,97746,139815
23.68,97691,139766
23.7,97695,139677
23.72,97674,139650
23.74,97721,139548
23.76,97773,139690
23.78,97801,139922
23.8,97740,139600
23.82,97676,139599
23.84,97733,139628
23.86,97749,139517
23.88,97636,139787
23.9,97664,139632
23.92,97627,139586
23.94,97766,139948
23.96,97835,139839
23.98,97832,139736
24,97829,139868
24.02,97936,13987997307
24.04,97290,138869
24.06,97339,138861
24.08,97273,138929
24.1,97263,138939
24.12,97373,139011
24.14,97360,139054
24.16,97369,138934
24.18,97390,139073
24.2,97417,139059
24.22,97392,139111
24.24,97352,139165
24.26,97447,139218
24.28,97464,139157
24.3,97394,139146
24.32,97403,139116
24.34,97481,139090
24.36,97517,139081
24.38,97405,139116
24.4,97332,139110
24.42,97358,138979
24.44,97339,138783
24.46,97307,138721
24.48,97271,138834
24.5,97398,138979
24.52,97395,139068
24.54,97311,138999
24.56,97405,139118
24.58,97496,139094
24.6,97405,138976
24.62,97438,138947
24.64,97514,139029
24.66,97451,138944
24.68,97438,139013
24.7,97436,139054
24.72,97502,138953
24.74,97348,138897
24.76,97335,138950
24.78,97447,138940
24.8,97387,139042
24.82,97373,139251
24.84,97550,139239
24.86,97476,139144
24.88,97484,139284
24.9,97457,139039
24.92,97412,139000
24.94,97475,138931
24.96,97415,138989
24.98,97404,138950
25,97420,139061
25.02,97426,139019
25.04,97394,138949
25.06,97406,138891
25.08,97375,138887
25.1,97338,138971
25.12,97494,138977
25.14,97459,138928
25.16,97396,138880
25.18,97422,139022
25.2,97481,139048
25.22,97407,138997
25.24,97400,138990
25.26,97484,139098
25.28,97466,139142
25.3,97468,138978
25.32,97390,139057
25.34,97429,139206
25.36,97422,139063
25.38,97393,139039
25.4,97459,139077
25.42,97523,139087
25.44,97482,139020
25.46,97401,138898
25.48,97585,139205
25.5,97579,139117
25.52,97529,139146
25.54,97511,139123
25.56,97443,139024
25.58,97523,139164
25.6,97654,139169
25.62,97597,139125
25.64,97620,139314
25.66,97606,139169
25.68,97650,139200
25.7,97606,139081
25.72,97484,139093
25.74,97489,139141
25.76,97575,139078
25.78,97581,139194
25.8,97742,139276
25.82,97651,139339
25.84,97590,139430
25.86,97717,139689
25.88,97740,139402
25.9,97643,139351
25.92,97604,139062
25.94,97511,139230
25.96,97545,139194
25.98,97687,139509
26,97773,139513
26.02,97769,139593
26.04,97689,139236
26.06,97565,139099
26.08,97504,138979
26.1,97466,138907
26.12,97453,138910
26.14,97462,138861
26.16,97499,138917
26.18,97603,139083
26.2,97668,139326
26.22,97739,139369
26.24,97763,139540
26.26,97687,139448
26.28,97661,139286
26.3,97623,139140
26.32,97523,139222
26.34,97532,139118
26.36,97645,139194
26.38,97610,139350
26.4,97764,139556
26.42,97876,139662
26.44,97911,139988
26.46,98012,140063
26.48,97989,139954
26.5,97881,139851
26.52,97871,139762
26.54,97843,139642
26.56,97841,139641
26.58,97851,139532
26.6,97849,139641
26.62,97859,139828
26.64,98039,139879
26.66,97963,139828
26.68,97848,139528
26.7,97826,139392
26.72,97745,139338
26.74,97779,139339
26.76,97826,139504
26.78,97866,139441
26.8,97918,139671
26.82,97942,139661
26.84,97854,139608
26.86,98009,139661
26.88,97902,139697
26.9,97869,139712
26.92,97845,139768
26.94,97960,139644
26.96,97870,139505
26.98,97886,139678
27,97878,139575
27.02,97937,139657
27.04,97953,139824
27.06,97926,139783
27.08,97942,139676
27.1,97773,139438
27.12,97869,139682
27.14,97826,139450
27.16,97839,139462
27.18,97899,139647
27.2,97916,139494
27.22,97810,139373
27.24,97801,139465
27.26,97809,139338
27.28,97753,139261
27.3,97790,139423
27.32,97801,139370
27.34,97727,139328
27.36,97783,139399
27.38,97823,139389
27.4,97887,139326
27.42,97868,139447
27.44,97901,139448
27.46,97829,139407
27.48,97906,139481
27.5,97819,139194
27.52,97813,139385
27.54,97905,139393
27.56,97868,139483
27.58,97840,139608
27.6,97946,139625
27.62,98010,139705
27.64,97980,139762
27.66,98019,139672
27.68,97924,139605
27.7,97942,139698
27.72,97865,139537
27.74,97885,139526
27.76,97863,139505
27.78,97946,139597
27.8,97945,139615
27.82,98027,139743
27.84,98061,139804
27.86,97988,139656
27.88,98065,139768
27.9,97948,139599
27.92,97935,139875
27.94,97964,139862
27.96,97924,140005
27.98,98138,140438
28,98390,140762
28.02,97823,140004
28.04,97809,139978
28.06,97734,139741
28.08,97726,139741
28.1,97701,139775
28.12,97746,139815
28.14,97691,139766
28.16,97695,139677
28.18,97674,139650
28.2,97721,139548
28.22,97773,139690
28.24,97801,139922
28.26,97740,139600
28.28,97676,139599
28.3,97733,139628
28.32,97749,139517
