X,Y,Z,R,IR,HR,RR,SPO2,Activity,HR Mean,RR Mean,SPO2 Mean
0.06,-0.19,1.09,9978,11993,96.77419355,,99.8510117,2,,,
0.05,-0.19,1.02,9914,11829,61.2244898,,99.8852995,2,,,
0.08,-0.19,1.11,9880,11943,62.5,,99.65553091,2,,,
0.04,-0.19,1.09,9960,11989,60,,95.09014257,2,,,
0.09,-0.19,1.06,9964,12123,62.5,,99.83951177,2,,,
0.1,-0.19,1.05,10053,11965,78.94736842,,99.86830417,2,,,
0.05,-0.17,1.02,10004,11984,50,,95.45404979,2,,,
0.05,-0.19,1.06,9838,11853,52.63157895,,97.6688488,2,,,
0.09,-0.16,1,9949,11959,39.47368421,,99.70066296,2,,,
0.05,-0.19,1,9951,11962,66.66666667,,99.91463423,2,,,
0.06,-0.2,1,9980,11953,150,,96.6303682,2,,,
0.05,-0.2,0.99,9929,11919,90.90909091,,99.34217778,2,,,
0.08,-0.21,1.09,9944,11905,96.77419355,,99.36907482,2,,,
0.08,-0.17,1.04,10016,12044,90.90909091,,99.9568322,2,,,
0.04,-0.2,1.02,9763,11757,111.1111111,,97.80369418,2,,,
0.05,-0.2,1.08,9865,11851,90.90909091,,99.89291285,2,,,
0.06,-0.19,1,9899,11851,85.71428571,,99.85685906,2,,,
0.05,-0.19,1.06,9886,11990,166.6666667,,95.64106257,2,,,
0.05,-0.19,1.06,9970,11812,62.5,,99.50757822,2,,,
0.04,-0.19,1.05,9871,11880,88.23529412,,99.92620074,2,,,
0.05,-0.2,1.04,9827,11816,83.33333333,,97.96952881,2,,,
0.06,-0.2,1.02,9881,11871,157.8947368,,96.10482882,2,,,
0.04,-0.21,1.01,9912,11867,78.94736842,,94.30926769,2,,,
0.06,-0.21,1.05,10016,11959,96.77419355,,97.91988157,2,,,
0.06,-0.21,1,9766,11715,90.90909091,,99.74882743,2,,,
0.04,-0.22,1.04,9823,11828,130.4347826,,90.77667218,2,,,
0.04,-0.2,1.02,9883,11851,93.75,,98.18841317,2,,,
0.06,-0.21,1.05,9939,11980,107.1428571,,96.39731381,2,,,
0.04,-0.21,1.05,9977,11837,71.42857143,,96.93054014,2,,,
0.05,-0.2,1.01,9816,11830,51.72413793,,98.40807306,2,,,
0.06,-0.17,1.06,9914,11846,111.1111111,,94.40764038,2,,,
0.08,-0.19,1.04,9901,11934,50,,99.93672259,2,,,
0.06,-0.19,1.02,10003,11942,61.2244898,,93.8923039,2,,,
0.08,-0.19,1.05,9937,11836,150,,98.31700629,2,,,
0.05,-0.19,1.09,9744,11667,81.08108108,,96.70061466,2,,,
0.14,-0.2,1.09,9833,11765,90.90909091,,97.32619774,2,,,
0.11,-0.19,1.01,9835,11752,93.75,,98.18536113,2,,,
0.09,-0.19,1.05,9850,11892,53.57142857,,99.24349609,2,,,
0.09,-0.19,1,9927,11818,214.2857143,,96.5087247,2,,,
0.06,-0.2,1.04,9778,11791,62.5,,94.36315699,2,,,
0.1,-0.2,1.08,9919,11890,111.1111111,,98.92509483,2,,,
0.1,-0.19,1.04,9940,11924,60,,98.10765863,2,,,
0.04,-0.19,0.99,10087,12038,35.29411765,,91.20939116,2,,,
0.06,-0.21,1.04,10002,11986,53.57142857,,96.39255971,2,,,
0.05,-0.2,1.02,9986,11901,66.66666667,,91.24533821,2,,,
0.05,-0.2,1.05,9976,11957,71.42857143,,99.85264756,2,,,
0.09,-0.21,1.08,9998,12097,90.90909091,,99.76336476,2,,,
0.05,-0.19,1.08,10055,11915,51.72413793,,97.89158788,2,,,
0.04,-0.19,1.08,9990,11941,93.75,,94.27783996,2,,,
0.06,-0.19,1.04,9944,11918,187.5,,96.83991675,2,,,
0.08,-0.2,1.05,9931,12000,78.94736842,,99.93974162,2,,,
0.06,-0.2,1.02,10041,12010,78.94736842,,96.76031963,2,,,
0.05,-0.2,1.05,9949,11925,103.4482759,,99.92236286,2,,,
0.06,-0.2,1.08,9854,11824,90.90909091,,98.47008334,2,,,
0.04,-0.2,1.05,9952,11942,93.75,,98.80148536,2,,,
0.1,-0.19,1.04,10063,12036,136.3636364,,99.8666942,2,,,
0.09,-0.19,1.02,9967,11947,83.33333333,,99.21922468,2,,,
0.06,-0.17,1,9978,11843,103.4482759,,99.94108514,2,,,
0.09,-0.17,1.04,9885,11923,111.1111111,,99.6336256,2,,,
0.08,-0.17,1.05,9971,11972,78.94736842,,98.92764765,2,,,
0.09,-0.19,1.04,9983,11965,90.90909091,,92.83578763,2,,,
0.08,-0.19,1.04,10052,12039,111.1111111,,89.79032309,2,,,
0.08,-0.17,1.05,9984,11960,88.23529412,,96.60184522,2,,,
0.08,-0.19,1.06,9859,11824,66.66666667,,99.8868677,2,,,
0.08,-0.19,1.08,9951,11944,61.2244898,,96.38035071,2,,,
0.1,-0.19,1.08,10072,12064,61.2244898,,97.3759397,2,,,
0.06,-0.16,1.04,9941,11912,81.08108108,,99.94159174,2,,,
0.06,-0.19,1.05,9971,11805,65.2173913,,99.90389075,2,,,
0.06,-0.2,1.04,9869,11902,46.15384615,,96.53243987,2,,,
0.08,-0.2,1.01,9930,12079,51.72413793,,98.93041512,2,,,
0.05,-0.2,1.06,10022,11939,81.08108108,,99.84182389,2,,,
0.04,-0.19,1.06,9945,12006,93.75,,94.64164324,2,,,
0.06,-0.2,1.08,9978,12019,83.33333333,,98.95521695,2,,,
0.06,-0.19,1.05,9986,12024,125,,99.60231757,2,,,
0.08,-0.2,1,10069,12101,88.23529412,,99.2018678,2,,,
0.08,-0.2,1,10006,12025,88.23529412,,97.91085638,2,,,
0.1,-0.2,1,9886,12028,100,,99.91122623,2,,,
0.09,-0.21,1.06,9994,12048,96.77419355,,95.59938202,2,,,
0.04,-0.21,1.06,10131,12152,96.77419355,,95.53809377,2,,,
0.05,-0.19,1.04,10019,12052,55.55555556,,94.845,2,,,
0.04,-0.17,1.01,9981,11884,81.08108108,,98.05349923,2,,,
0.08,-0.19,1.02,9870,11913,115.3846154,,89.31055158,2,,,
0.06,-0.19,1.04,9941,11944,90.90909091,,99.81337045,2,,,
0.08,-0.19,1,9972,12092,125,,99.87906123,2,,,
0.06,-0.2,0.99,10047,11956,103.4482759,,95.6727952,2,,,
0.09,-0.21,1.05,9966,11944,111.1111111,,98.63016016,2,,,
0.09,-0.17,1.01,9867,11932,120,,95.96852057,2,,,
0.06,-0.2,1.02,9947,12037,90.90909091,,89.53115877,2,,,
0.1,-0.2,1.01,10036,11940,66.66666667,,96.24987218,2,,,
0.05,-0.2,1,9964,11994,54.54545455,,98.30927521,2,,,
0.06,-0.19,1.02,9906,11880,88.23529412,,98.8392712,2,,,
0.09,-0.19,1.01,9962,11956,136.3636364,,90.71295495,2,,,
0.08,-0.19,1.09,9967,11962,81.08108108,,89.24414568,2,,,
0.06,-0.19,0.99,10075,12036,69.76744186,,94.86423648,2,,,
0.05,-0.19,1.09,9920,11940,63.82978723,,92.83582104,2,,,
0.06,-0.19,1.09,9952,11805,62.5,,98.98128504,2,,,
0.05,-0.19,1.09,9816,11920,69.76744186,,98.47245703,2,,,
0.08,-0.19,1,9961,11956,57.69230769,,97.49370157,2,,,
0.08,-0.19,1.09,9963,11923,93.75,,99.73615491,2,,,
0.08,-0.17,1.04,10031,11953,78.94736842,,90.78785978,2,,,
0.05,-0.2,1.05,9793,11773,46.875,,94.85665463,2,,,
0.08,-0.17,1.02,9884,11961,83.33333333,,93.18233097,2,,,
0.08,-0.19,0.99,9988,11921,83.33333333,,99.6778421,2,,,
0.1,-0.17,1.05,9873,11831,60,,96.96830681,2,,,
0.08,-0.19,1.04,9767,11794,90.90909091,,91.94488378,2,,,
0.03,-0.19,1.09,9871,11918,49.18032787,,99.59785542,2,,,
0.08,-0.2,1.06,9954,11976,69.76744186,,99.04319825,2,,,
0.06,-0.19,1.05,9919,11893,60,,82.01003698,2,,,
0.08,-0.19,1.02,9926,11716,75,,99.93444334,2,,,
0.09,-0.17,1,9842,11860,69.76744186,,98.99353644,2,,,
0.06,-0.19,1.02,9912,11878,61.2244898,,99.45380748,2,,,
0.06,-0.19,1.04,9932,12022,63.82978723,,99.40852734,2,,,
0.05,-0.19,1.02,10001,11930,62.5,,97.99919209,2,,,
0.03,-0.19,1.06,9905,11832,90.90909091,,96.69067897,2,,,
0.04,-0.19,1.01,9739,11753,111.1111111,,97.71280453,2,,,
0.05,-0.19,1.04,9862,11835,85.71428571,,98.94668185,2,,,
0.06,-0.17,1.06,9881,11864,85.71428571,,95.02217822,2,,,
0.08,-0.17,1.08,9971,11964,73.17073171,,95.97512415,2,,,
0.09,-0.19,1.06,9889,11862,58.82352941,,99.85054844,2,,,
0.06,-0.19,1.08,9866,11870,76.92307692,,99.0071305,2,,,
0.01,-0.19,1.08,9900,11877,78.94736842,,94.09625791,2,,,
0.04,-0.19,1.05,9940,11872,83.33333333,,99.04835332,2,,,
0.06,-0.19,1.04,9828,11788,53.57142857,,90.5577389,2,,,
0.04,-0.19,1.1,9839,11878,78.94736842,,99.57595162,2,,,
0.05,-0.19,1.05,9937,11900,58.82352941,,88.65893284,2,,,
0.04,-0.17,1.02,9943,12044,49.18032787,,98.01426049,2,,,
0.03,-0.19,1.06,9964,11861,75,,98.58540433,2,,,
0.09,-0.19,1.02,9898,11906,90.90909091,,84.23760481,2,,,
0.06,-0.2,1.02,9780,11794,96.77419355,,97.82391464,2,,,
0.05,-0.2,1.04,9880,11902,75,,97.5538156,2,,,
0.04,-0.19,1.02,9997,11950,103.4482759,,95.92542161,2,,,
0.05,-0.19,1.01,9904,11883,93.75,,99.15934042,2,,,
0.04,-0.19,1.11,9901,12040,58.82352941,,99.92069447,2,,,
0.05,-0.19,1.11,10026,11957,46.875,,94.97436576,2,,,
0.1,-0.19,1.1,9922,11919,78.94736842,,99.67836091,2,,,
