time(second),IR,RED
21.48,8383,10571
21.5,8381,10485
21.52,8424,10511
21.54,8353,10487
21.56,8401,10503
21.58,8409,10513
21.6,8410,10530
21.62,8392,10451
21.64,8435,10534
21.66,8349,10494
21.68,8411,10459
21.7,8382,10490
21.72,8387,10486
21.74,8418,10537
21.76,8383,10510
21.78,8355,10480
21.8,8427,10532
21.82,8386,10478
21.84,8415,108382
21.86,8363,10541
21.88,8377,10509
21.9,8319,10443
21.92,8328,10548
21.94,8327,10482
21.96,8333,10485
21.98,8358,10495
22,8314,10510
22.02,8335,10465
22.04,8351,10497
22.06,8354,10525
22.08,8284,10509
22.1,8325,10469
22.12,8370,10453
22.14,8349,10458
22.16,8376,10540
22.18,8345,10517
22.2,8301,10479
22.22,8337,10428
22.24,8327,10483
22.26,8347,10482
22.28,8362,10514
22.3,8339,10436
22.32,8361,10521
22.34,8336,10483
22.36,8364,10503
22.38,8316,10529
22.4,8326,10462
22.42,8378,10444
22.44,8316,10555
22.46,8331,10457
22.48,8369,10516
22.5,8321,10493
22.52,8305,10466
22.54,8313,10529
22.56,8320,10483
22.58,8371,10440
22.6,8339,10535
22.62,8313,10477
22.64,8331,10464
22.66,8370,10520
22.68,8326,10499
22.7,8318,10424
22.72,8363,10538
22.74,8323,10458
22.76,8377,10450
22.78,8325,10502
22.8,8372,10471
22.82,8362,10500
22.84,8298,10469
22.86,8374,10478
22.88,8327,10510
22.9,8309,10493
22.92,8348,10427
22.94,8373,10462
22.96,8345,10484
22.98,8354,10489
23,8301,10459
23.02,8354,10410
23.04,8351,10480
23.06,8298,10385
23.08,8326,10482
23.1,8300,10390
23.12,8281,10417
23.14,8343,10474
23.16,8355,10450
23.18,8315,10437
23.2,8271,10390
23.22,8264,10382
23.24,8304,10381
23.26,8280,10422
23.28,8268,10367
23.3,8297,10355
23.32,8294,10442
23.34,8351,10437
23.36,8344,10403
23.38,8311,10435
23.4,8275,10384
23.42,8309,10449
23.44,8339,10384
23.46,8302,10389
23.48,8307,10400
23.5,8302,10319
23.52,8330,10433
23.54,8322,10357
23.56,8364,10443
23.58,8326,10424
23.6,8290,10351
23.62,8334,10430
23.64,8333,10423
23.66,8326,10445
23.68,8264,10401
23.7,8345,10425
23.72,8266,10411
23.74,8313,10444
23.76,8284,10405
23.78,8340,10403
23.8,8322,10402
23.82,8299,10385
23.84,8382,10492
23.86,8363,10541
23.88,8377,10509
23.9,8319,10443
23.92,8328,10548
23.94,8327,10482
23.96,8333,10485
23.98,8358,10495
24,8314,10510
24.02,8335,10465
24.04,8351,10497
24.06,8354,10525
24.08,8284,10509
24.1,8325,10469
24.12,8370,10453
24.14,8349,10458
24.16,8376,10540
24.18,8345,10517
24.2,8301,10479
24.22,8337,10428
24.24,8327,10483
24.26,8347,10482
24.28,8362,10514
24.3,8339,10436
24.32,8361,10521
24.34,8336,10483
24.36,8364,10503
24.38,8316,10529
24.4,8326,10462
24.42,8378,10444
24.44,8316,10555
24.46,8331,10457
24.48,8369,10516
24.5,8321,10493
24.52,8305,10466
24.54,8313,10529
24.56,8320,10483
24.58,8371,10440
24.6,8339,10535
24.62,8313,10477
24.64,8331,10464
24.66,8370,10520
24.68,8326,10499
24.7,8318,10424
24.72,8363,10538
24.74,8323,10458
24.76,8377,10450
24.78,8325,10502
24.8,8372,10471
24.82,8362,10500
24.84,8298,10469
24.86,8374,10478
24.88,8327,10510
24.9,8309,10493
24.92,8348,10427
24.94,8373,10462
24.96,8345,10484
24.98,8354,10489
25,8301,10459
25.02,8354,10410
25.04,8351,10480
25.06,8298,10385
25.08,8326,10482
25.1,8300,10390
25.12,8281,10417
25.14,8343,10474
25.16,8355,10450
25.18,8315,10437
25.2,8271,10390
25.22,8264,10382
25.24,8304,10381
25.26,8280,10422
25.28,8268,10367
25.3,8297,10355
25.32,8294,10442
25.34,8351,10437
25.36,8344,10403
25.38,8311,10435
25.4,8275,10384
25.42,8309,10449
25.44,8339,10384
25.46,8302,10389
25.48,8307,10400
25.5,8302,10319
25.52,8330,10433
25.54,8322,10357
25.56,8364,10443
25.58,8326,10424
25.6,8290,10351
25.62,8334,10430
25.64,8333,10423
25.66,8326,10445
25.68,8264,10401
25.7,8345,10425
25.72,8266,10411
25.74,8313,10444
25.76,8284,10405
25.78,8340,10403
25.8,8322,10402
25.82,8299,10385
25.84,8314,10415
25.86,8292,10362
25.88,8329,10374
25.9,8308,10446
25.92,8303,10363
25.94,8328,10428
25.96,8288,10438
25.98,8319,10389
26,8310,10463
26.02,8295,10492
26.04,8282,10387
26.06,8321,10434
26.08,8290,10470
26.1,8302,10387
26.12,8334,10431
26.14,8276,10428
26.16,8333,10400
26.18,8343,10408
26.2,8312,10501
26.22,8269,10440
26.24,8260,10396
26.26,8285,10477
26.28,8302,10398
26.3,8322,10421
26.32,8341,10432
26.34,8294,10447
26.36,8276,10492
26.38,8272,10453
26.4,8329,10428
26.42,8328,10402
26.44,8297,10470
26.46,8261,10402
26.48,8299,10432
26.5,8336,10429
26.52,8278,10485
26.54,8261,10417
26.56,8337,10464
26.58,8276,10451
26.6,8331,10434
26.62,8249,10522
26.64,8287,10418
26.66,8282,10476
26.68,8308,10413
26.7,8332,10412
26.72,8295,10527
26.74,8286,10417
26.76,8324,10432
26.78,8235,10465
26.8,8280,10458
26.82,8311,10482
26.84,8284,10491
26.86,8287,10451
26.88,8323,10401
26.9,8304,10496
26.92,8263,10462
26.94,8301,10537
26.96,8277,10451
26.98,8282,10387
27,8319,10439
27.02,8282,10485
27.04,8258,10437
27.06,8319,10504
27.08,8290,10489
27.1,8278,10496
27.12,8292,10441
27.14,8292,10480
27.16,8271,10435
27.18,8317,10459
27.2,8265,10459
27.22,8322,10451
27.24,8291,10455
27.26,8299,10385
27.28,8283,10503
27.3,8288,10452
27.32,8326,10465
27.34,8266,10495
27.36,8264,10452
27.38,8303,10431
27.4,8311,10403
27.42,8296,10505
27.44,8280,10437
27.46,8303,10451
27.48,8324,10470
27.5,8250,10470
27.52,8277,10431
27.54,8332,10509
27.56,8299,10498
27.58,8238,10519
27.6,8260,10444
27.62,8324,10485
27.64,8286,10436
27.66,8327,10481
27.68,8278,10469
27.7,8330,10472
27.72,8272,10496
27.74,8271,10447
27.76,8328,10414
27.78,8301,10518
27.8,8273,10460
27.82,8266,10425
27.84,8382,10492
27.86,8363,10541
27.88,8377,10509
27.9,8319,10443
27.92,8328,10548
27.94,8327,10482
27.96,8333,10485
27.98,8358,10495
