X,Y,Z,IR,RED,HeartRate,RespirationRate,SPO2,Activity,HR Mean,RR Mean,SPO2 Mean
0.56,0.03,0.86,8163,10657,150,,93.54463611,2,,,
0.56,-0.01,0.85,8238,10623,142.8571429,,99.82023178,2,,,
0.51,0.01,0.85,8159,10654,250,,88.89544305,2,,,
0.57,0,0.88,8228,10636,176.4705882,,96.27436808,2,,,
0.55,-0.04,0.9,8175,10709,176.4705882,,94.85016015,2,,,
0.59,-0.01,0.81,8173,10620,166.6666667,,94.97067417,2,,,
0.51,0,0.88,8172,10620,157.8947368,,95.46586387,2,,,
0.55,-0.04,0.9,8213,10658,166.6666667,,96.39838971,2,,,
0.57,-0.01,0.86,8157,10639,333.3333333,,99.8913438,2,,,
0.55,0,0.86,8234,10682,157.8947368,,93.36959652,2,,,
0.57,-0.06,0.81,8194,10688,150,,88.93028765,2,,,
0.56,-0.03,0.82,8161,10697,111.1111111,,96.27409388,2,,,
0.56,-0.03,0.89,8177,10647,150,,94.85016015,2,,,
0.51,-0.01,0.89,8216,10663,111.1111111,,94.97067417,2,,,
0.52,-0.01,0.88,8180,10708,150,,95.46586385,2,,,
0.54,-0.01,0.91,8139,10652,150,,96.39838969,2,,,
0.52,-0.03,0.84,8225,10650,230.7692308,,99.89134382,2,,,
0.55,-0.01,0.89,8158,10698,176.4705882,,93.36959658,2,,,
0.54,0.04,0.8,8157,10691,176.4705882,,88.93028758,2,,,
0.55,0,0.85,8175,10703,166.6666667,,96.27409386,2,,,
0.57,0,0.82,8181,10668,157.8947368,,94.87385248,2,,,
0.56,0,0.85,8211,10680,157.8947368,,94.87710167,2,,,
0.56,0.01,0.89,8208,10679,375,,96.06413968,2,,,
0.57,0,0.9,8147,10681,157.8947368,,98.79541037,2,,,
0.56,0.01,0.81,8188,10645,150,,99.9067677,2,,,
0.56,0.01,0.85,8173,10664,111.1111111,,97.28092012,2,,,
0.54,-0.01,0.81,8141,10647,150,,89.44309016,2,,,
0.52,-0.01,0.86,8195,10650,111.1111111,,99.84325732,2,,,
0.56,0.03,0.79,8224,10680,150,,99.65177776,2,,,
0.55,-0.04,0.84,8160,10678,120,,97.29004987,2,,,
0.54,-0.03,0.89,8191,10639,136.3636364,,89.44619754,2,,,
0.55,0.06,0.8,8208,10687,107.1428571,,98.79307387,2,,,
0.56,-0.05,0.88,8141,10626,142.8571429,,97.87196531,2,,,
0.55,-0.05,0.91,8161,10687,150,,95.27976466,2,,,
0.56,-0.06,0.9,8168,10656,111.1111111,,94.85243322,2,,,
0.49,-0.04,0.86,8191,10641,150,,94.87250688,2,,,
0.56,0.01,0.85,8201,10717,150,,95.98987565,2,,,
0.52,-0.01,0.86,8175,10668,166.6666667,,95.9826291,2,,,
0.56,-0.03,0.88,8147,10646,230.7692308,,97.63924877,2,,,
0.52,0.01,0.84,8216,10666,166.6666667,,94.54296882,2,,,
0.52,-0.03,0.88,8171,10700,115.3846154,,98.79547022,2,,,
0.54,0,0.89,8225,10688,150,,97.87344765,2,,,
0.54,-0.01,0.89,8161,10682,142.8571429,,95.27975809,2,,,
0.54,0,0.82,8170,10653,142.8571429,,94.85243322,2,,,
0.56,0.01,0.86,8222,10598,200,,94.87250688,2,,,
0.52,0,0.85,8215,10699,200,,95.98987562,2,,,
0.54,0,0.91,8159,10643,176.4705882,,95.98262908,2,,,
0.54,-0.04,0.85,8166,10634,166.6666667,,97.63924876,2,,,
0.54,-0.04,0.85,8183,10653,157.8947368,,94.54296881,2,,,
0.55,0.04,0.85,8188,10721,157.8947368,,98.79547021,2,,,
0.54,-0.01,0.81,8188,10646,428.5714286,,97.87344763,2,,,
0.52,0.05,0.86,8219,10656,150,,95.2797297,2,,,
0.57,-0.03,0.89,8154,10695,150,,94.86022514,2,,,
0.52,0.01,0.82,8140,10639,111.1111111,,94.85532742,2,,,
0.55,0,0.84,8177,10651,150,,95.25169855,2,,,
0.54,-0.01,0.84,8206,10664,115.3846154,,96.22034629,2,,,
0.56,-0.03,0.86,8161,10683,142.8571429,,99.30727977,2,,,
0.52,-0.03,0.86,8188,10619,136.3636364,,99.64093777,2,,,
0.54,-0.01,0.9,8232,10696,230.7692308,,98.45333588,2,,,
0.51,0.01,0.89,8195,10725,200,,99.95058009,2,,,
0.51,0,0.84,8127,10685,176.4705882,,95.35211774,2,,,
0.51,0,0.89,8229,10674,166.6666667,,94.97865133,2,,,
0.54,-0.01,0.85,8182,10698,157.8947368,,99.60760177,2,,,
0.52,-0.01,0.86,8169,10670,157.8947368,,98.49126284,2,,,
0.55,0.01,0.88,8161,10710,428.5714286,,99.95098264,2,,,
0.55,-0.03,0.86,8186,10653,150,,95.35298562,2,,,
0.5,-0.01,0.86,8221,10633,150,,95.202713,2,,,
0.57,-0.04,0.9,8200,10682,111.1111111,,99.92010151,2,,,
0.52,0,0.86,8197,10646,150,,94.8459811,2,,,
0.52,0.01,0.88,8223,10668,115.3846154,,94.85551328,2,,,
0.57,0.04,0.86,8167,10708,142.8571429,,95.23186063,2,,,
0.54,-0.01,0.86,8191,10699,136.3636364,,96.19709494,2,,,
0.54,0,0.86,8139,10648,230.7692308,,99.71038813,2,,,
0.54,0,0.91,8219,10653,200,,95.4622325,2,,,
0.56,-0.01,0.84,8134,10654,176.4705882,,95.20293416,2,,,
0.55,0.01,0.82,8189,10698,166.6666667,,99.92010938,2,,,
0.56,-0.01,0.88,8189,10700,157.8947368,,94.8459811,2,,,
0.54,-0.01,0.89,8149,10621,166.6666667,,94.85551328,2,,,
0.49,-0.03,0.85,8193,10690,333.3333333,,95.23186062,2,,,
0.55,0,0.93,8225,10702,150,,96.19709493,2,,,
0.52,0,0.81,8149,10687,157.8947368,,99.71038814,2,,,
0.54,-0.01,0.82,8160,10672,111.1111111,,95.46223247,2,,,
0.52,-0.05,0.89,8171,10647,150,,95.20293417,2,,,
0.57,-0.01,0.91,8185,10620,115.3846154,,99.92010938,2,,,
0.57,-0.03,0.88,8156,10625,142.8571429,,94.87117703,2,,,
0.55,0,0.85,8205,10651,115.3846154,,94.91751218,2,,,
0.56,0.01,0.86,8193,10666,142.8571429,,94.99901146,2,,,
0.56,-0.04,0.84,8192,10683,115.3846154,,99.11311268,2,,,
0.56,0.01,0.8,8140,10665,136.3636364,,98.86165111,2,,,
0.55,0.01,0.86,8236,10611,150,,99.41482476,2,,,
0.55,0.03,0.91,8124,10649,150,,90.43664484,2,,,
0.56,0.01,0.88,8200,10625,150,,91.41494239,2,,,
0.55,0.01,0.88,8220,10635,166.6666667,,99.95457143,2,,,
0.51,-0.04,0.86,8169,10701,166.6666667,,99.84796065,2,,,
0.54,-0.03,0.9,8193,10617,150,,99.56633667,2,,,
0.54,-0.01,0.9,8213,10664,150,,98.14768347,2,,,
0.52,-0.04,0.89,8151,10654,125,,90.29930206,2,,,
0.54,-0.03,0.88,8189,10640,142.8571429,,91.4609045,2,,,
0.55,0,0.88,8206,10692,150,,99.95449167,2,,,
0.52,-0.03,0.84,8220,10643,150,,99.84790564,2,,,
0.57,-0.04,0.93,8193,10718,157.8947368,,99.91527787,2,,,
0.57,-0.05,0.84,8200,10651,200,,94.86585218,2,,,
0.52,0.01,0.88,8216,10625,176.4705882,,94.88218075,2,,,
0.52,0.01,0.86,8203,10662,166.6666667,,95.03628135,2,,,
