time(second),IR,RED
26.24,8427,10555
26.26,8379,10564
26.28,8393,10516
26.3,8446,10470
26.32,8368,10471
26.34,8439,10538
26.36,8389,10533
26.38,8361,10504
26.4,8388,10496
26.42,8394,10540
26.44,8373,10496
26.46,8385,10433
26.48,8437,10524
26.5,8441,10494
26.52,8398,10539
26.54,8368,10516
26.56,8437,10531
26.58,8398,10524
26.6,8369,10481
26.62,8432,10489
26.64,8412,10511
26.66,8368,10517
26.68,8390,10424
26.7,8428,10455
26.72,8385,10494
26.74,8377,10507
26.76,8417,10489
26.78,8416,10480
26.8,8367,10541
26.82,8396,10420
26.84,8385,10521
26.86,8363,10487
26.88,8384,10511
26.9,8362,10485
26.92,8440,10484
26.94,8442,10467
26.96,8385,10504
26.98,8403,10473
27,8396,10490
27.02,8425,10455
27.04,8418,10456
27.06,8373,10480
27.08,8379,10455
27.1,8365,10402
27.12,8379,10474
27.14,8375,10547
27.16,8420,10495
27.18,8345,10469
27.2,8404,10440
27.22,8436,10454
27.24,8394,10466
27.26,8437,10482
27.28,8404,10515
27.3,8361,10481
27.32,8393,10454
27.34,8374,10445
27.36,8424,10457
27.38,8352,10473
27.4,8339,10443
27.42,8361,10479
27.44,8384,10503
27.46,8351,10486
27.48,8378,10473
27.5,8446,10470
27.52,8394,10516
27.54,8340,10462
27.56,8390,10526
27.58,8397,10464
27.6,8411,10519
27.62,8393,10495
27.64,8391,10499
27.66,8448,10528
27.68,8398,10490
27.7,8423,10446
27.72,8394,10499
27.74,8387,10438
27.76,8435,10433
27.78,8392,10477
27.8,8376,10459
27.82,8416,10528
27.84,8409,10520
27.86,8446,10561
27.88,8438,10576
27.9,8410,10573
27.92,8347,10502
27.94,8468,10524
27.96,8384,10535
27.98,8453,10504
