X,Y,Z,IR,RED,HeartRate,RespirationRate,SPO2,Activity,HR Mean,RR Mean,SPO2 Mean
0.11,-0.32,0.91,8573,10610,66.66666667,,99.60825128,1,,,
0.19,-0.34,0.99,8572,10584,69.76744186,,95.87760936,1,,,
0.19,-0.35,0.91,8596,10552,69.76744186,,85.84125532,1,,,
0.21,-0.41,0.85,8628,10628,75,,99.06344331,1,,,
0.15,-0.37,0.82,8610,10572,71.42857143,,82.4776385,1,,,
0.11,-0.4,0.86,8534,10584,81.08108108,,99.13626932,1,,,
0.2,-0.37,0.89,8588,10584,56.60377358,,90.50745372,1,,,
0.21,-0.36,0.84,8584,10603,130.4347826,,94.84182123,1,,,
0.21,-0.36,0.88,8542,10525,150,,94.95887159,1,,,
0.22,-0.4,0.89,8594,10610,125,,95.32943793,1,,,
0.21,-0.37,0.9,8568,10557,120,,95.06743109,1,,,
