X,Y,Z,IR,RED,Heart Rate,Respiration Rate,SpO2
0.01,-0.17,1.02,262143,262143,,,80.139
0.03,-0.19,1.06,262143,262143,,,80.139
0.06,-0.19,1.06,262143,262143,,,80.30568876
0.04,-0.17,1.02,262143,262143,,,84.23282021
0.04,-0.17,1.02,262143,262143,,,83.72604515
0.06,-0.17,1.08,262143,262143,,,94.16789985
0.03,-0.14,1.06,262143,262143,,,94.3289423
0.03,-0.17,1.08,262143,262143,,,97.53210815
0.05,-0.17,1.06,262143,262143,,,96.98783446
0.04,-0.17,1.1,262143,262143,,,97.30441062
0.04,-0.16,1.06,262143,262143,,,93.19364783
0.03,-0.17,1.04,262143,262143,,,99.95411781
0.05,-0.19,1.08,262143,262143,,,96.47246675
0.04,-0.17,1.01,262143,262143,,,99.91437113
0.06,-0.17,1.09,262143,262143,,,99.62038457
0.05,-0.17,1.06,262143,262143,,,95.3879027
0.03,-0.16,1.06,262143,262143,,,99.49064118
0.05,-0.17,1.06,262143,262143,,,97.23070201
0.05,-0.17,1.02,262143,262143,,,96.55489341
0.05,-0.16,1.11,262143,262143,,,97.6976006
0.03,-0.17,1.08,262143,262143,,,95.7998886
0.03,-0.17,1.01,262143,262143,,,95.62666745
0.01,-0.2,1.04,262143,262143,,,99.66659399
0.05,-0.17,1.02,262143,262143,,,95.51546628
0.04,-0.19,1.1,262143,262143,,,98.98413978
0.05,-0.17,1.09,262143,262143,,,94.845
0.01,-0.17,1.02,262143,262143,,,81.49488385
0.05,-0.17,1.12,262143,262143,,,87.1807313
0.01,-0.17,1.08,262143,262143,,,95.81478123
0.05,-0.19,1.01,262143,262143,,,94.845
0.03,-0.16,1.01,262143,262143,,,97.42581677
0.05,-0.15,1.04,262143,262143,,,99.32143182
0.04,-0.17,1.06,262143,262143,,,98.98794554
0.04,-0.19,1.08,262143,262143,,,97.91893673
0.06,-0.19,1.02,262143,262143,,,90.7574459
0.06,-0.17,1.06,262143,262143,,,90.63421522
0.04,-0.17,1.06,262143,262143,,,99.88569094
0.04,-0.19,1.04,262143,262143,,,97.95391742
0.06,-0.17,1.1,262143,262143,,,99.09698271
0.03,-0.19,1.06,262143,262143,,,99.44014606
0.03,-0.16,1,262143,262143,,,99.63545817
0.05,-0.19,1.05,262143,262143,,,98.77307924
0.04,-0.17,1.05,262143,262143,,,96.82500818
0.05,-0.17,1.04,262143,262143,,,98.69450406
0.05,-0.15,1.09,262143,262143,,,99.26766578
0.04,-0.15,1.04,262143,262143,,,99.70257922
0.05,-0.17,1.1,262143,262143,,,97.44397698
0.04,-0.16,1.05,262143,262143,,,99.95178316
0.06,-0.16,0.96,262143,262143,,,99.38276601
0.05,-0.16,1.02,262143,262143,,,88.74020369
0.06,-0.16,1.06,262143,262143,,,99.94049794
0.05,-0.19,1.06,262143,262143,,,99.95419157
0.06,-0.16,1.08,262143,262143,,,95.45942649
0.04,-0.16,1.02,262143,262143,,,94.845
0.06,-0.16,1.1,262143,262143,,,86.95591296
0.06,-0.16,1.02,262143,262143,,,84.37040574
0.06,-0.17,1.02,262143,262143,,,99.83847503
0.08,-0.19,1.04,262143,262143,,,94.845
0.04,-0.19,1.06,262143,262143,,,96.97755711
0.06,-0.15,1.04,262143,262143,,,90.1209555
0.06,-0.17,1.06,262143,262143,,,98.14545912
0.06,-0.17,1.05,262143,262143,,,96.10670606
0.03,-0.17,1.02,262143,262143,,,95.02021362
0.03,-0.17,1.05,262143,262143,,,98.98855774
0.05,-0.19,1.06,262143,262143,,,97.20014279
0.05,-0.19,1.02,262143,262143,,,98.22677231
0.03,-0.16,1.02,262143,262143,,,99.25406824
0.03,-0.17,1.01,262143,262143,,,96.50793875
0.04,-0.16,1.01,262143,262143,,,98.71595819
0.03,-0.16,1.06,262143,262143,,,96.28191129
